#twotheta, yobs, ycal, bkg, diff
1.242000e+001,6.850000e+002,7.114863e+002,7.014147e+002,-2.648625e+001
1.244000e+001,6.990000e+002,7.118757e+002,7.017673e+002,-1.287574e+001
1.246000e+001,7.030000e+002,7.122653e+002,7.021199e+002,-9.265324e+000
1.248000e+001,6.910000e+002,7.126550e+002,7.024723e+002,-2.165500e+001
1.250000e+001,7.000000e+002,7.130448e+002,7.028246e+002,-1.304478e+001
1.252000e+001,7.530000e+002,7.134347e+002,7.031768e+002,3.956535e+001
1.254000e+001,7.350000e+002,7.138246e+002,7.035289e+002,2.117538e+001
1.256000e+001,6.680000e+002,7.142147e+002,7.038809e+002,-4.621470e+001
1.258000e+001,7.490000e+002,7.146049e+002,7.042328e+002,3.439513e+001
1.260000e+001,7.470000e+002,7.149952e+002,7.045846e+002,3.200485e+001
1.262000e+001,7.370000e+002,7.153855e+002,7.049363e+002,2.161446e+001
1.264000e+001,7.110000e+002,7.157760e+002,7.052879e+002,-4.776032e+000
1.266000e+001,7.030000e+002,7.161666e+002,7.056393e+002,-1.316663e+001
1.268000e+001,6.950000e+002,7.165573e+002,7.059907e+002,-2.155735e+001
1.270000e+001,7.760000e+002,7.169482e+002,7.063420e+002,5.905183e+001
1.272000e+001,7.150000e+002,7.173391e+002,7.066931e+002,-2.339109e+000
1.274000e+001,7.300000e+002,7.177302e+002,7.070441e+002,1.226984e+001
1.276000e+001,6.940000e+002,7.181213e+002,7.073951e+002,-2.412133e+001
1.278000e+001,6.900000e+002,7.185126e+002,7.077459e+002,-2.851262e+001
1.280000e+001,6.830000e+002,7.189040e+002,7.080966e+002,-3.590403e+001
1.282000e+001,7.240000e+002,7.192956e+002,7.084472e+002,4.704438e+000
1.284000e+001,7.180000e+002,7.196872e+002,7.087977e+002,-1.687216e+000
1.286000e+001,7.030000e+002,7.200790e+002,7.091481e+002,-1.707900e+001
1.288000e+001,6.890000e+002,7.204709e+002,7.094984e+002,-3.147090e+001
1.290000e+001,7.250000e+002,7.208629e+002,7.098486e+002,4.137060e+000
1.292000e+001,7.760000e+002,7.212551e+002,7.101986e+002,5.474489e+001
1.294000e+001,7.820000e+002,7.216474e+002,7.105486e+002,6.035259e+001
1.296000e+001,7.020000e+002,7.220398e+002,7.108985e+002,-2.003984e+001
1.298000e+001,7.510000e+002,7.224324e+002,7.112482e+002,2.856759e+001
1.300000e+001,7.100000e+002,7.228251e+002,7.115979e+002,-1.282512e+001
1.302000e+001,7.430000e+002,7.232180e+002,7.119474e+002,1.978204e+001
1.304000e+001,7.220000e+002,7.236110e+002,7.122968e+002,-1.610953e+000
1.306000e+001,7.220000e+002,7.240041e+002,7.126461e+002,-2.004086e+000
1.308000e+001,7.280000e+002,7.243974e+002,7.129954e+002,3.602636e+000
1.310000e+001,7.400000e+002,7.247908e+002,7.133445e+002,1.520921e+001
1.312000e+001,7.290000e+002,7.251844e+002,7.136935e+002,3.815636e+000
1.314000e+001,6.570000e+002,7.255781e+002,7.140423e+002,-6.857809e+001
1.316000e+001,7.450000e+002,7.259720e+002,7.143911e+002,1.902803e+001
1.318000e+001,7.200000e+002,7.263660e+002,7.147398e+002,-6.366004e+000
1.320000e+001,7.610000e+002,7.267602e+002,7.150884e+002,3.423980e+001
1.322000e+001,7.220000e+002,7.271545e+002,7.154368e+002,-5.154548e+000
1.324000e+001,7.390000e+002,7.275491e+002,7.157852e+002,1.145094e+001
1.326000e+001,7.690000e+002,7.279437e+002,7.161334e+002,4.105626e+001
1.328000e+001,7.580000e+002,7.283386e+002,7.164816e+002,2.966142e+001
1.330000e+001,7.270000e+002,7.287336e+002,7.168296e+002,-1.733589e+000
1.332000e+001,7.610000e+002,7.291288e+002,7.171775e+002,3.187123e+001
1.334000e+001,7.340000e+002,7.295241e+002,7.175254e+002,4.475880e+000
1.336000e+001,7.130000e+002,7.299196e+002,7.178731e+002,-1.691965e+001
1.338000e+001,7.020000e+002,7.303153e+002,7.182207e+002,-2.831535e+001
1.340000e+001,7.380000e+002,7.307112e+002,7.185682e+002,7.288770e+000
1.342000e+001,7.450000e+002,7.311073e+002,7.189156e+002,1.389271e+001
